ANP;DESCRICAO
550101005;RESIDUO ASFALTICO(RASF)
550101002;RESIDUO ATMOSFERICO (RAT)
550101003;RESIDUO DE VACUO
550101004;RESIDUO DE VACUO DE ALTO TEOR DE ENXOGRE
130202007;RESIDUO PARA REPROCESSAMENTO
110105011;RGN MISTURA
110201049;RINCON DE LOS SAUCES
110101048;RJS-609
110101033;RONCADOR
110101040;RONCADOR LESTE
110101045;RONCADOR MISTURA
110101041;RONCADOR OESTE
110204040;ROSTAM
110105019;RT
110204041;RUMAILA
110105024;RV-1
110203070;SABLE CRUDE OIL
110203055;SAHARA MISTURA
110204042;SALMAN
110203075;SALTPOND
110201050;SAN SEBASTIAN
110201051;SANTA BARBARA
110201052;SANTA CRUZ
110201053;SANTA CRUZ DO SUL
120201002;SANTA ROSA
110105029;SAO MANOEL
110203056;SARIR
110204043;SARKHOON
110203090;SAXI BLEND
140101020;SEBO
110103018;SEMPRE VIVA
110106004;SERGIPANO MAR
110106005;SERGIPANO MISTURA
110106006;SERGIPANO TERRA
110205028;SERIA LIGHT
110105012;SERRARIA
120204005;SHARJAH
110205013;SHENGLI
110201054;SHIVIYACU
110101044;SIRI
110204044;SIRRI
110203057;SIRTICA
110203058;SKIKDA
120206002;SLEIPNER
120206004;SNOHVIT
330201008;SOLVENTE C9 (OU C9 AROMATICO)
330101004;SOLVENTE PARA BORRACHA
110204045;SORROSH
110204046;SOUEDIA
110201063;SOUTH BLEND
110206013;SOVIET EXPORT BLEND
110203059;SOYO
110203060;SOYO 38
610101001;SPINDLE
610401001;SPINDLE RR
110206015;STATFJORD
110206014;STATFJORD LOW SULFUR
110204052;SUEDIE
110205015;SUMATRAN HEAVY
110205014;SUMATRAN LIGHT
110204047;SYRIAN LIGHT
110205016;TACHING
110203061;TAKULA
110205017;TAPIS
110106009;TARTARUGA
110203062;TCHATAMBA
110206016;TENGIZ
120205007;TERENGANU
120201003;TERRA DEL FUEGO
620101006;TEXTIL / AMACIANTE DE FIBRAS
120205008;THAI
120204006;THAMAMA
110201055;TIA JUANA
110201056;TIA JUANA MEDIO
110201057;TIA JUANA PESADO
110103016;TIGRE
110205018;TIONG
110107005;TIRO
330201002;TOLUENO
620504001;TRANSMISSAO AUTOMATICA
620503001;TRANSMISSOES E SISTEMAS HIDRAULICOS
110101034;TRILHA
110107004;TUPI
610101007;TURBINA LEVE
610101008;TURBINA PESADO
110105014;UBARANA/AGULHA
110205019;UDANG
110103012;UIRAPURU
110203063;UKPOKITI
120204007;UMM SAIF
110204048;UMM SHAIF
110105013;UPANEMA
110204049;UPPER ZAKUM
110206017;URAL
110109001;URUCU
110107006;URUGUA-TAMBAU
110201059;VASCONIA BLEND
110201058;VASCONIA 29,3
640301001;VASELINA
110101035;VERMELHO
110101036;VIOLA
110101037;VOADOR
110205020;WIDURI
120207005;WOOLLYBUTT CRUDE
110206018;WYTCH FARM
110108006;XAREU/ATUM
110203076;XICOMBA
110205021;XIJIANG
330201003;XILENOS
130101001;XISTO BRUTO
110201060;YANAYACU
110203071;YOHO
110203065;ZAFIRO
110203064;ZAIRE
110204050;ZAKUM
110203066;ZARZAITINE
110203067;ZEIT BAY
110201061;ZUATA
110203068;ZUEITINA
110105026;1-FAC-2-RN
110106008;1-WW-1-BA
